RxnID	rxnEq	rxnCTrans	rates	rxnType	basis	deviation
HEX1	glc-D_c + atp_c = g6p_c + adp_c + h_c	abcdef + X = abcdef + X + X		F		
Htm2	h_m = h_c	X = X		FR		
Htm2_R	h_c = h_m	X = X		R		
ICDHxm	icit_m + nad_m = akg_m + co2_m + nadh_m	abcdef + X = bdafc + e + X		FR		
ICDHxm_R	akg_m + co2_m + nadh_m = icit_m + nad_m	abcde + f + X = caebfd + X		R		
LDH_L	pyr_c + h_c + nadh_c = lac-L_c + nad_c	abc + X + X = abc + X		FR		
LDH_L_R	lac-L_c + nad_c = pyr_c + h_c + nadh_c	abc + X = abc + X + X		R		
MALtm	mal-L_c = mal-L_m	abcd = abcd		F		
MDH	oaa_c + h_c + nadh_c = mal-L_c + nad_c	abcd + X + X = abcd + X		F		
MDHm	mal-L_m + nad_m = oaa_m + h_m + nadh_m	abcd + X = abcd + X + X		FR		
MDHm_R	oaa_m + h_m + nadh_m = mal-L_m + nad_m	abcd + X + X = abcd + X		R		
MMEm	mmcoa-S_m = mmcoa-R_m	abcd = abcd		F		
MMMm	mmcoa-R_m = succoa_m	abcd = bacd		F		
MMSAD1m	2mop_m + coa_m + nad_m = ppcoa_m + co2_m + nadh_m	abcd + X + X = acb + d + X		F		
NADH2-u10m	h_m + h_m + h_m + h_m + h_m + nadh_m + q10_m = h_ims_m + h_ims_m + h_ims_m + h_ims_m + nad_m + q10h2_m	X + X + X + X + X + X + X = X + X + X + X + X + X		F		
NADH_REDOX	nadh_c = h_c + nad_c	X = X + X		F		
NDPK1	atp_c + gdp_c = adp_c + gtp_c	X + X = X + X		F		
NH4tm	nh4_c = nh4_m	X = X		FR		
NH4tm_R	nh4_m = nh4_c	X = X		R		
O2tm	o2_c = o2_m	X = X		F		
OCBTm	cbp_m + orn_m = citr-L_m + h_m + pi_m	a + bcdef = bcdefa + X + X		F		
ORNt4m	citr-L_m + orn_c = citr-L_c + orn_m	abcdef + ghijk = abcdef + ghijk		F		
PCm	hco3_m + pyr_m + atp_m = oaa_m + adp_m + h_m + pi_m	a + bcd + X = bcad + X + X + X		F		
PDHm	pyr_m + coa_m + nad_m = accoa_m + co2_m + nadh_m	abc + X + X = ab + c + X		F		
PEPCK	oaa_c + gtp_c = pep_c + co2_c + gdp_c	abcd + X = abd + c + X		F		
PFK	f6p_c + atp_c = fdp_c + adp_c + h_c	abcdef + X = abcdef + X + X		F		
PGCD	3pg_c + nad_c = 3php_c + h_c + nadh_c	abc + X = abc + X + X		F		
PGI	g6p_c = f6p_c	abcdef = afbcde		FR		
PGI_R	f6p_c = g6p_c	abcdef = acdefb		R		
PGK	13dpg_c + adp_c = 3pg_c + atp_c	abc + X = abc + X		FR		
PGK_R	3pg_c + atp_c = 13dpg_c + adp_c	abc + X = abc + X		R		
PGM	3pg_c = 2pg_c	abc = abc		FR		
PGM_R	2pg_c = 3pg_c	abc = abc		R		
PGMT	g1p_c = g6p_c	abcdef = abcdef		F		
PIt2m	pi_c = pi_m	X = X		F		
PIter	pi_r = pi_c	X = X		F		
PPA	h2o_c + ppi_c = h_c + pi_c + pi_c	X + X = X + X + X		F		
PPCOACm	hco3_m + ppcoa_m + atp_m = mmcoa-S_m + adp_m + h_m + pi_m	a + bcd + X = bcad + X + X + X		F		
PROTDEG_ALA	prot_ala_c = ala-L_c	abc = abc		F		
PROTDEG_ARG	prot_arg_c = arg-L_c	abcdef = abcdef		F		
PSERT	3php_c + glu-L_c = pser-L_c + akg_c	abc + defgh = abc + defgh		F		
PSP_L	pser-L_c + h2o_c = ser-L_c + pi_c	abc + X = abc + X		F		
PYK	pep_c + adp_c + h_c = pyr_c + atp_c	abc + X + X = abc + X		F		
PYRt2m	pyr_c = pyr_m	abc = abc		FR		
PYRt2m_R	pyr_m = pyr_c	abc = abc		R		
SERHL	ser-L_c = 2amac_c + h2o_c	abc = abc + X		F		
SUCD1m	succ_m + q10_m = fum_m + q10h2_m	abcd + X = badc + X		F		
SUCOASm	succoa_m + adp_m + pi_m = succ_m + atp_m + coa_m	abcd + X + X = badc + X + X		F		
TPI	dhap_c = g3p_c	abc = abc		FR		
TPI_R	g3p_c = dhap_c	abc = abc		R		

##	excludedMetabolites
#	2mop_i
#	ac_i
#	ala-L_i
#	arg-L_i
#	asp-L_i
#	co2_i
#	energy_i
#	glc-D_i
#	gln-L_i
#	glucys_i
#	gly_i
#	glyc_i
#	glycogen_i
#	h2o_i
#	h_i
#	nh4_i
#	o2_i
#	pi_i
#	prot_ala_i
#	prot_arg_i
#	ser-L_i
#	arg-L_o
#	asp-L_o
#	co2_o
#	energy_o
#	glc-D_o
#	glu-L_o
#	gthrd_o
#	h2o_o
#	h_o
#	lac-L_o
#	nh4_o
#	pi_o
#	ser-L_o
#	urea_o

##	simulatedMDVs
#	acrn_c#11
#	acrn_m#11
#	ala-L_c#111
#	arg-L_c#111111
#	asp-L_c#1111
#	asp-L_m#1111
#	citr-L_c#111111
#	citr-L_m#111111
#	g3p_c#111
#	glc-D_c#111111
#	glc-D_r#111111
#	gln-L_c#11111
#	gln-L_m#11111
#	glu-L_c#11111
#	glu-L_m#11111
#	gly_c#11
#	glyc3p_c#111
#	mal-L_c#1111
#	mal-L_m#1111
#	orn_c#11111
#	orn_m#11111
#	ser-L_c#111

##	inputSubstrates
#	2mop_i
